channel,in_weight,out_weight,unique_inbound_channels,unique_outbound_channels,unique_outbound_bots
dipsxdreams,2,1,2,1,0
dirtroaddiscussion,1,5,1,4,0
dj689buffalom9,106,210,1,3,2
dj_amoo_movies_hd,0,2,0,2,0
documentary20,0,0,0,0,1
dopekiller_0000,0,1,0,1,0
doraemon_in_hindi_tamil_telugu,2,16,2,12,0
dragonkingvip,234,237,2,3,0
dramaseriesfan1,0,5,0,2,0
dramawithshiva,20,7,5,4,1
duo99channel,96,24,4,1,0
durov,1,2,1,2,0
dwsdramahindi,2,6,2,2,1
e_money_master,1,2,1,2,8
eastbrook_fantasy,2,37,2,5,1
eastbrook_healer,2,66,2,10,0
eastbrook_normal,6,74,4,11,0
eastbrooksharing,1,2,1,1,2
echaat_extra,31,30,2,1,1
edemy251,4,2,2,1,0
elearnlk,0,7,0,7,2
elyurtumidifoundation,1,0,1,0,1
emmersivelearning,7,10,2,3,0
empenadasdehentai,2,39,1,1,0
emscanschannel,502,254,3,4,0
englishmovie200,0,37,0,5,1
eniahd,0,35,0,1,0
eniahd_official,239,204,2,1,0
epgnews,5,5,1,1,1
ethicomputer,60,85,2,6,2
everyone_lovesme,0,22,0,8,1
evkus,4,2,2,2,0
family_therapists,9,10,3,2,0
fantasycrickettips1,1,1,1,1,0
fanyar22,44,240,4,15,1
farskore,1,1,1,1,0
fast_racing_f1,1,7,1,5,0
fate_aw,16,25,8,12,1
felixskzbr,0,1,0,1,0
filmak20,0,1,0,1,2
filmbollywood,0,1,0,1,1
filmeeh1,0,0,0,0,1
filmg,0,3,0,1,0
filmora9,0,1,0,1,4
filmseven_asli7,4,8,1,5,0
filmy_pvr,3,4,3,2,0
fivefeetapartfilm,0,55,0,1,1
footballvipclubmm,4,71,1,1,0
formula1_race_leader,0,6,0,5,0
free347,0,0,0,0,1
free_pc_games_channel,0,0,0,0,1
freemmsubmovies,1,15,1,5,0
friends_uncut,1,1,1,1,0
gameaw,10,11,10,5,0
garde_nia,0,3,0,3,0
gb_fm_og_whatsapps,0,1,0,1,0
geekshare,0,1,0,1,2
getmediaindex,1,0,1,0,4
ghost_at_school_in_hindi_x,1,2,1,2,0
gledos_microblogging,0,0,0,0,1
global_internet_cafe,30,30,1,1,0
go_pvt,2,1,2,1,0
goblin4563,84,472,15,15,0
gold8channel,204,100,3,2,0
goldenplus9slotchannel,12,6,2,1,1
golshifteiran,0,0,0,0,1
gopichand_telugu_movies,0,5,0,5,3
hagemaru_in_hindi,1,2,1,2,0
haikalforinternatinalinvestment,6,2,3,1,0
haikyuuaw,8,19,8,8,1
happycartoon77,0,460,0,4,0
happymovie3channel,0,420,0,5,0
harukalovestoku,1,10,1,7,0
hermeserenatobrasil,0,5,0,3,0
herryfan,13,263,5,8,0
herrymoviecity007,150,243,2,7,0
herrymovingchannel,0,256,0,7,0
hildafarsi,0,0,0,0,1
hindianimeverse,1,1,1,1,0
hindii_anime,2,2,2,2,0
homiladorlikvaonalik,1,5,1,2,0
horrornodrive,2,6,1,2,0
hscbatch2026p,176,94,3,12,2
hv_cartoons_telugu_2,0,0,0,0,2
icoolztricks,2,2,1,1,0
idaten_jump_hindi_x,1,2,1,2,0
imperioresiliente,0,0,0,0,2
inamkamal2,4,4,1,1,0
inazuma_eleven_hindi,1,4,1,4,0
indiamovie4,0,50,0,5,4
indycarhistory,42,47,1,3,1
ingliztili_tilini_organamiz,4,52,1,3,5
insidetelegram,2,4,1,3,3
iosshortcut,2,2,1,1,0
iraqi_movies,0,2,0,2,0
ishigamidesu,2,1,2,1,1
iyouport,9,9,1,1,2
iznabrazil,0,0,0,0,1
ja_cada,3,3,1,1,0
javanfilm,0,0,0,0,3
jesusasportas,0,1,0,1,0
jimmyfallo,1,2,1,2,0
jkbosegov,0,2,0,2,0
jkoreanlovermmsub,16,135,2,8,4
jojo_aw,10,27,5,14,1
jp555onlinegame,16,8,2,1,0
